iter	Passed	Remaining
0	170	169951
1	172	85853
2	174	57982
3	176	43967
4	178	35563
5	180	29908
6	182	25932
7	186	23090
8	188	20755
9	190	18861
10	191	17246
11	194	16006
12	196	14917
13	197	13921
14	199	13092
15	201	12375
16	202	11736
17	205	11215
18	207	10717
19	209	10274
20	210	9825
21	212	9457
22	214	9130
23	217	8830
24	218	8529
25	220	8265
26	222	8014
27	224	7791
28	225	7565
29	228	7379
30	230	7201
31	232	7020
32	234	6869
33	236	6715
34	238	6578
35	240	6449
36	242	6302
37	243	6176
38	246	6064
39	250	6001
40	252	5901
41	254	5803
42	256	5713
43	258	5619
44	260	5532
45	263	5454
46	265	5379
47	267	5300
48	269	5232
49	271	5160
50	273	5091
51	275	5028
52	277	4964
53	279	4895
54	281	4836
55	283	4781
56	285	4728
57	287	4666
58	289	4616
59	291	4569
60	293	4520
61	295	4468
62	297	4421
63	299	4378
64	301	4336
65	303	4292
66	305	4252
67	306	4198
68	308	4158
69	309	4118
70	311	4078
71	313	4036
72	315	4001
73	317	3967
74	318	3930
75	320	3897
76	322	3864
77	324	3830
78	326	3806
79	328	3779
80	330	3753
81	332	3727
82	334	3700
83	336	3672
84	338	3642
85	340	3619
86	341	3587
87	344	3571
88	346	3549
89	349	3531
90	351	3511
91	354	3496
92	356	3481
93	359	3463
94	361	3445
95	363	3424
96	365	3401
97	367	3381
98	369	3364
99	371	3343
100	373	3323
101	374	3296
102	376	3274
103	377	3252
104	379	3236
105	381	3217
106	383	3199
107	385	3182
108	386	3163
109	389	3150
110	390	3131
111	392	3112
112	394	3100
113	396	3081
114	398	3069
115	400	3051
116	402	3034
117	403	3018
118	404	2997
119	407	2987
120	409	2973
121	410	2956
122	411	2936
123	413	2923
124	415	2909
125	417	2895
126	419	2886
127	420	2867
128	423	2856
129	424	2843
130	426	2831
131	428	2820
132	430	2806
133	432	2796
134	434	2784
135	436	2775
136	439	2766
137	440	2753
138	442	2743
139	445	2734
140	447	2726
141	449	2716
142	451	2706
143	453	2694
144	455	2685
145	456	2670
146	458	2658
147	460	2649
148	461	2638
149	463	2628
150	465	2619
151	468	2613
152	469	2600
153	471	2590
154	473	2580
155	474	2565
156	476	2556
157	478	2547
158	480	2539
159	482	2532
160	484	2522
161	486	2514
162	487	2503
163	489	2495
164	491	2486
165	493	2477
166	495	2470
167	497	2462
168	499	2455
169	501	2449
170	503	2441
171	505	2433
172	507	2426
173	509	2418
174	511	2410
175	513	2406
176	516	2400
177	517	2391
178	519	2383
179	521	2375
180	522	2363
181	524	2359
182	526	2352
183	529	2346
184	531	2341
185	533	2336
186	536	2333
187	538	2324
188	540	2318
189	542	2313
190	545	2308
191	548	2310
192	557	2332
193	564	2347
194	571	2360
195	576	2363
196	581	2370
197	583	2364
198	586	2361
199	589	2356
200	591	2350
201	593	2345
202	595	2337
203	598	2336
204	601	2332
205	603	2327
206	605	2320
207	606	2310
208	608	2303
209	610	2297
210	612	2291
211	614	2282
212	615	2275
213	617	2269
214	620	2263
215	622	2258
216	623	2248
217	639	2293
218	644	2297
219	650	2306
220	654	2306
221	657	2304
222	660	2299
223	664	2303
224	669	2307
225	672	2303
226	677	2308
227	780	2641
228	785	2644
229	793	2657
230	797	2653
231	801	2652
232	807	2657
233	813	2662
234	818	2664
235	821	2660
236	824	2653
237	829	2655
238	833	2654
239	847	2683
240	850	2679
241	852	2669
242	854	2661
243	858	2659
244	860	2652
245	869	2666
246	872	2661
247	873	2649
248	876	2642
249	877	2633
250	879	2624
251	885	2628
252	886	2618
253	893	2624
254	897	2622
255	907	2636
256	909	2628
257	910	2619
258	911	2609
259	913	2599
260	914	2590
261	916	2580
262	918	2573
263	919	2563
264	920	2554
265	922	2546
266	924	2538
267	926	2529
268	927	2521
269	929	2511
270	931	2505
271	932	2496
272	934	2488
273	940	2492
274	945	2493
275	948	2487
276	950	2481
277	955	2480
278	958	2476
279	960	2469
280	964	2468
281	967	2464
282	971	2461
283	975	2460
284	978	2454
285	980	2448
286	983	2442
287	985	2435
288	987	2430
289	990	2425
290	993	2419
291	995	2414
292	1000	2414
293	1003	2410
294	1006	2404
295	1009	2400
296	1011	2394
297	1014	2389
298	1016	2383
299	1018	2377
300	1021	2371
301	1023	2364
302	1025	2357
303	1027	2352
304	1029	2346
305	1032	2340
306	1035	2336
307	1037	2331
308	1039	2325
309	1042	2320
310	1045	2316
311	1048	2312
312	1049	2304
313	1065	2328
314	1071	2330
315	1075	2328
316	1083	2333
317	1086	2329
318	1089	2325
319	1096	2329
320	1100	2328
321	1103	2323
322	1107	2320
323	1115	2326
324	1121	2328
325	1126	2329
326	1136	2338
327	1138	2332
328	1140	2326
329	1143	2321
330	1145	2315
331	1146	2307
332	1148	2301
333	1150	2295
334	1153	2289
335	1155	2283
336	1158	2279
337	1161	2275
338	1164	2270
339	1166	2264
340	1169	2259
341	1171	2253
342	1173	2248
343	1175	2242
344	1177	2236
345	1180	2231
346	1182	2226
347	1184	2219
348	1187	2214
349	1190	2210
350	1193	2206
351	1196	2203
352	1201	2202
353	1204	2197
354	1208	2196
355	1212	2193
356	1213	2186
357	1216	2181
358	1218	2176
359	1221	2170
360	1223	2165
361	1225	2160
362	1227	2154
363	1228	2147
364	1231	2142
365	1233	2136
366	1236	2131
367	1237	2125
368	1239	2119
369	1242	2114
370	1244	2109
371	1246	2103
372	1248	2098
373	1250	2093
374	1252	2087
375	1254	2081
376	1256	2075
377	1258	2071
378	1261	2066
379	1263	2060
380	1265	2056
381	1273	2060
382	1277	2057
383	1283	2058
384	1287	2056
385	1292	2056
386	1294	2050
387	1297	2046
388	1300	2042
389	1303	2039
390	1306	2035
391	1309	2031
392	1311	2025
393	1313	2020
394	1315	2014
395	1316	2008
396	1317	2001
397	1319	1996
398	1321	1990
399	1324	1986
400	1327	1982
401	1329	1977
402	1331	1972
403	1333	1967
404	1335	1962
405	1337	1956
406	1339	1951
407	1341	1946
408	1342	1940
409	1344	1934
410	1345	1928
411	1347	1923
412	1350	1919
413	1352	1914
414	1452	2047
415	1457	2045
416	1461	2043
417	1463	2037
418	1466	2033
419	1469	2029
420	1471	2023
421	1475	2020
422	1478	2016
423	1480	2011
424	1482	2006
425	1484	1999
426	1486	1994
427	1488	1989
428	1490	1984
429	1493	1979
430	1495	1974
431	1498	1969
432	1501	1966
433	1503	1961
434	1505	1955
435	1507	1950
436	1551	1998
437	1557	1997
438	1559	1993
439	1562	1988
440	1566	1985
441	1569	1981
442	1573	1978
443	1576	1973
444	1578	1969
445	1581	1964
446	1583	1959
447	1586	1954
448	1588	1949
449	1591	1945
450	1593	1939
451	1595	1934
452	1598	1929
453	1600	1924
454	1602	1919
455	1604	1914
456	1607	1909
457	1609	1904
458	1612	1900
459	1613	1894
460	1616	1890
461	1619	1885
462	1621	1880
463	1624	1876
464	1626	1871
465	1628	1866
466	1630	1861
467	1633	1857
468	1635	1851
469	1637	1846
470	1639	1841
471	1641	1836
472	1644	1831
473	1646	1827
474	1648	1822
475	1650	1817
476	1652	1812
477	1655	1807
478	1657	1802
479	1659	1798
480	1661	1793
481	1664	1788
482	1761	1885
483	1766	1883
484	1772	1881
485	1775	1877
486	1778	1873
487	1780	1868
488	1785	1865
489	1788	1861
490	1790	1856
491	1793	1852
492	1795	1846
493	1798	1841
494	1801	1838
495	1804	1833
496	1806	1828
497	1808	1822
498	1809	1817
499	1812	1812
500	1813	1806
501	1815	1800
502	1818	1796
503	1819	1790
504	1821	1785
505	1823	1779
506	1825	1775
507	1827	1770
508	1829	1765
509	1831	1759
510	1833	1754
511	1836	1750
512	1837	1744
513	1841	1740
514	1843	1736
515	1845	1731
516	1849	1727
517	1851	1722
518	1854	1718
519	1856	1713
520	1860	1710
521	1862	1705
522	1863	1699
523	1865	1695
524	1868	1690
525	1869	1684
526	1871	1679
527	1873	1674
528	1875	1669
529	1878	1665
530	1879	1660
531	1881	1654
532	1883	1650
533	1895	1654
534	1899	1650
535	1905	1649
536	1909	1646
537	1911	1641
538	1920	1642
539	1922	1637
540	1924	1632
541	1926	1628
542	1930	1624
543	1932	1619
544	1933	1613
545	1934	1608
546	1937	1604
547	1938	1598
548	1939	1593
549	1942	1589
550	1945	1585
551	1947	1580
552	1950	1576
553	1953	1572
554	1958	1570
555	1961	1566
556	1962	1561
557	1965	1556
558	1967	1552
559	1969	1547
560	1972	1543
561	1974	1538
562	1976	1534
563	1978	1529
564	1980	1525
565	1983	1520
566	1985	1515
567	1987	1511
568	1988	1506
569	1990	1501
570	2042	1534
571	2047	1531
572	2049	1527
573	2051	1522
574	2056	1520
575	2059	1516
576	2062	1511
577	2065	1507
578	2067	1503
579	2069	1498
580	2072	1494
581	2074	1490
582	2076	1485
583	2078	1480
584	2080	1476
585	2085	1473
586	2087	1468
587	2089	1464
588	2092	1459
589	2094	1455
590	2097	1451
591	2099	1447
592	2101	1442
593	2103	1438
594	2106	1433
595	2108	1429
596	2110	1424
597	2112	1420
598	2115	1415
599	2117	1411
600	2119	1407
601	2122	1403
602	2124	1398
603	2126	1394
604	2128	1389
605	2130	1385
606	2133	1381
607	2135	1376
608	2138	1372
609	2140	1368
610	2141	1363
611	2144	1359
612	2146	1354
613	2148	1350
614	2186	1368
615	2190	1365
616	2194	1362
617	2198	1358
618	2202	1355
619	2206	1352
620	2208	1347
621	2210	1343
622	2212	1339
623	2215	1334
624	2217	1330
625	2219	1325
626	2221	1321
627	2221	1316
628	2223	1311
629	2226	1307
630	2228	1303
631	2230	1298
632	2231	1293
633	2232	1288
634	2234	1284
635	2236	1280
636	2242	1278
637	2245	1274
638	2248	1270
639	2251	1266
640	2253	1262
641	2255	1257
642	2256	1252
643	2258	1248
644	2261	1244
645	2266	1241
646	2268	1237
647	2270	1233
648	2271	1228
649	2273	1223
650	2275	1219
651	2277	1215
652	2279	1211
653	2281	1207
654	2284	1203
655	2285	1198
656	2287	1194
657	2289	1190
658	2291	1185
659	2293	1181
660	2295	1177
661	2297	1172
662	2298	1168
663	2299	1163
664	2303	1160
665	2305	1156
666	2306	1151
667	2308	1147
668	2310	1143
669	2312	1139
670	2314	1134
671	2418	1180
672	2432	1182
673	2436	1178
674	2439	1174
675	2447	1173
676	2450	1169
677	2453	1165
678	2455	1160
679	2457	1156
680	2460	1152
681	2463	1148
682	2465	1144
683	2467	1140
684	2469	1135
685	2472	1131
686	2475	1127
687	2478	1123
688	2480	1119
689	2482	1115
690	2484	1110
691	2486	1106
692	2491	1103
693	2493	1099
694	2496	1095
695	2497	1091
696	2500	1087
697	2503	1083
698	2505	1079
699	2508	1074
700	2509	1070
701	2511	1066
702	2514	1062
703	2518	1058
704	2520	1054
705	2521	1049
706	2522	1045
707	2524	1041
708	2526	1037
709	2528	1032
710	2530	1028
711	2532	1024
712	2586	1041
713	2590	1037
714	2593	1033
715	2596	1029
716	2599	1025
717	2604	1022
718	2607	1018
719	2609	1014
720	2650	1025
721	2656	1022
722	2660	1019
723	2666	1016
724	2669	1012
725	2677	1010
726	2680	1006
727	2682	1002
728	2686	998
729	2688	994
730	2691	990
